Training repr mode 'a' for 5 epochs on device cpu for task 'ner'
Epoch 1/5
Sentences seen: 500, Dev Acc: 0.0000
Sentences seen: 1000, Dev Acc: 0.0000
Sentences seen: 1500, Dev Acc: 0.0000
Sentences seen: 2000, Dev Acc: 0.0000
Sentences seen: 2500, Dev Acc: 0.0000
Sentences seen: 3000, Dev Acc: 0.0000
Sentences seen: 3500, Dev Acc: 0.0006
Sentences seen: 4000, Dev Acc: 0.0049
Sentences seen: 4500, Dev Acc: 0.0163
Sentences seen: 5000, Dev Acc: 0.0375
Sentences seen: 5500, Dev Acc: 0.0829
Sentences seen: 6000, Dev Acc: 0.1187
Sentences seen: 6500, Dev Acc: 0.1988
Sentences seen: 7000, Dev Acc: 0.2396
Sentences seen: 7500, Dev Acc: 0.2961
Sentences seen: 8000, Dev Acc: 0.3595
Sentences seen: 8500, Dev Acc: 0.3039
Sentences seen: 9000, Dev Acc: 0.4132
Sentences seen: 9500, Dev Acc: 0.4312
Sentences seen: 10000, Dev Acc: 0.4533
Sentences seen: 10500, Dev Acc: 0.4624
Sentences seen: 11000, Dev Acc: 0.4984
Sentences seen: 11500, Dev Acc: 0.5096
Sentences seen: 12000, Dev Acc: 0.4847
Sentences seen: 12500, Dev Acc: 0.4759
Sentences seen: 13000, Dev Acc: 0.5006
Sentences seen: 13500, Dev Acc: 0.5438
Sentences seen: 14000, Dev Acc: 0.5384
Sentences seen: 14500, Dev Acc: 0.5182
Epoch 1 TRAIN loss: 0.4679 | TRAIN accuracy: 0.2448
Last dev acc: 0.5182
Epoch 2/5
Sentences seen: 15000, Dev Acc: 0.5455
Sentences seen: 15500, Dev Acc: 0.5240
Sentences seen: 16000, Dev Acc: 0.5917
Sentences seen: 16500, Dev Acc: 0.5922
Sentences seen: 17000, Dev Acc: 0.5795
Sentences seen: 17500, Dev Acc: 0.6075
Sentences seen: 18000, Dev Acc: 0.6036
Sentences seen: 18500, Dev Acc: 0.5930
Sentences seen: 19000, Dev Acc: 0.6277
Sentences seen: 19500, Dev Acc: 0.6336
Sentences seen: 20000, Dev Acc: 0.6210
Sentences seen: 20500, Dev Acc: 0.6546
Sentences seen: 21000, Dev Acc: 0.6370
Sentences seen: 21500, Dev Acc: 0.6596
Sentences seen: 22000, Dev Acc: 0.6633
Sentences seen: 22500, Dev Acc: 0.6491
