Training repr mode 'b' for 5 epochs on device cpu for task 'ner'
Epoch 1/5
Sentences seen: 500, Dev Acc: 0.0000
Sentences seen: 1000, Dev Acc: 0.0000
Sentences seen: 1500, Dev Acc: 0.0000
Sentences seen: 2000, Dev Acc: 0.0000
Sentences seen: 2500, Dev Acc: 0.0000
Sentences seen: 3000, Dev Acc: 0.0000
Sentences seen: 3500, Dev Acc: 0.0000
Sentences seen: 4000, Dev Acc: 0.0000
Sentences seen: 4500, Dev Acc: 0.0000
Sentences seen: 5000, Dev Acc: 0.0000
Sentences seen: 5500, Dev Acc: 0.0000
Sentences seen: 6000, Dev Acc: 0.0000
Sentences seen: 6500, Dev Acc: 0.0000
Sentences seen: 7000, Dev Acc: 0.0000
Sentences seen: 7500, Dev Acc: 0.0000
Sentences seen: 8000, Dev Acc: 0.0000
Sentences seen: 8500, Dev Acc: 0.0000
Sentences seen: 9000, Dev Acc: 0.0000
Sentences seen: 9500, Dev Acc: 0.0000
Sentences seen: 10000, Dev Acc: 0.0000
Sentences seen: 10500, Dev Acc: 0.0000
Sentences seen: 11000, Dev Acc: 0.0000
Sentences seen: 11500, Dev Acc: 0.0000
Sentences seen: 12000, Dev Acc: 0.0000
Sentences seen: 12500, Dev Acc: 0.0000
Sentences seen: 13000, Dev Acc: 0.0000
Sentences seen: 13500, Dev Acc: 0.0000
Sentences seen: 14000, Dev Acc: 0.0000
Sentences seen: 14500, Dev Acc: 0.0000
Epoch 1 TRAIN loss: 0.6943 | TRAIN accuracy: 0.0005
Last dev acc: 0.0000
Epoch 2/5
Sentences seen: 15000, Dev Acc: 0.0000
Sentences seen: 15500, Dev Acc: 0.0000
Sentences seen: 16000, Dev Acc: 0.0000
Sentences seen: 16500, Dev Acc: 0.0000
Sentences seen: 17000, Dev Acc: 0.0000
Sentences seen: 17500, Dev Acc: 0.0000
Sentences seen: 18000, Dev Acc: 0.0182
Sentences seen: 18500, Dev Acc: 0.0286
Sentences seen: 19000, Dev Acc: 0.0513
Sentences seen: 19500, Dev Acc: 0.0588
Sentences seen: 20000, Dev Acc: 0.0593
Sentences seen: 20500, Dev Acc: 0.1057
Sentences seen: 21000, Dev Acc: 0.1105
Sentences seen: 21500, Dev Acc: 0.1433
Sentences seen: 22000, Dev Acc: 0.2072
Sentences seen: 22500, Dev Acc: 0.1342
