Training repr mode 'c' for 5 epochs on device cpu for task 'ner'
Epoch 1/5
Sentences seen: 500, Dev Acc: 0.0000
Sentences seen: 1000, Dev Acc: 0.0000
Sentences seen: 1500, Dev Acc: 0.0000
Sentences seen: 2000, Dev Acc: 0.0000
Sentences seen: 2500, Dev Acc: 0.0000
Sentences seen: 3000, Dev Acc: 0.0001
Sentences seen: 3500, Dev Acc: 0.0001
Sentences seen: 4000, Dev Acc: 0.0023
Sentences seen: 4500, Dev Acc: 0.0057
Sentences seen: 5000, Dev Acc: 0.0105
Sentences seen: 5500, Dev Acc: 0.0236
Sentences seen: 6000, Dev Acc: 0.0378
Sentences seen: 6500, Dev Acc: 0.0656
Sentences seen: 7000, Dev Acc: 0.1313
Sentences seen: 7500, Dev Acc: 0.1110
Sentences seen: 8000, Dev Acc: 0.1477
Sentences seen: 8500, Dev Acc: 0.1956
Sentences seen: 9000, Dev Acc: 0.2098
Sentences seen: 9500, Dev Acc: 0.2668
Sentences seen: 10000, Dev Acc: 0.2397
Sentences seen: 10500, Dev Acc: 0.3212
Sentences seen: 11000, Dev Acc: 0.3308
Sentences seen: 11500, Dev Acc: 0.3668
Sentences seen: 12000, Dev Acc: 0.3529
Sentences seen: 12500, Dev Acc: 0.4052
Sentences seen: 13000, Dev Acc: 0.3897
Sentences seen: 13500, Dev Acc: 0.4035
Sentences seen: 14000, Dev Acc: 0.4177
Sentences seen: 14500, Dev Acc: 0.4368
Epoch 1 TRAIN loss: 0.5313 | TRAIN accuracy: 0.1689
Last dev acc: 0.4368
Epoch 2/5
Sentences seen: 15000, Dev Acc: 0.4468
Sentences seen: 15500, Dev Acc: 0.4593
Sentences seen: 16000, Dev Acc: 0.4748
Sentences seen: 16500, Dev Acc: 0.4763
Sentences seen: 17000, Dev Acc: 0.5082
Sentences seen: 17500, Dev Acc: 0.5207
Sentences seen: 18000, Dev Acc: 0.5102
Sentences seen: 18500, Dev Acc: 0.5248
Sentences seen: 19000, Dev Acc: 0.5279
Sentences seen: 19500, Dev Acc: 0.5478
Sentences seen: 20000, Dev Acc: 0.5570
Sentences seen: 20500, Dev Acc: 0.5275
Sentences seen: 21000, Dev Acc: 0.5699
Sentences seen: 21500, Dev Acc: 0.5492
Sentences seen: 22000, Dev Acc: 0.5737
Sentences seen: 22500, Dev Acc: 0.5934
