Training repr mode 'd' for 5 epochs on device cpu for task 'ner'
Epoch 1/5
Sentences seen: 500, Dev Acc: 0.0000
Sentences seen: 1000, Dev Acc: 0.0000
Sentences seen: 1500, Dev Acc: 0.0000
Sentences seen: 2000, Dev Acc: 0.0000
Sentences seen: 2500, Dev Acc: 0.0000
Sentences seen: 3000, Dev Acc: 0.0000
Sentences seen: 3500, Dev Acc: 0.0000
Sentences seen: 4000, Dev Acc: 0.0008
Sentences seen: 4500, Dev Acc: 0.0053
Sentences seen: 5000, Dev Acc: 0.0205
Sentences seen: 5500, Dev Acc: 0.0360
Sentences seen: 6000, Dev Acc: 0.0936
Sentences seen: 6500, Dev Acc: 0.1260
Sentences seen: 7000, Dev Acc: 0.1444
Sentences seen: 7500, Dev Acc: 0.1724
Sentences seen: 8000, Dev Acc: 0.2267
Sentences seen: 8500, Dev Acc: 0.2909
Sentences seen: 9000, Dev Acc: 0.3525
Sentences seen: 9500, Dev Acc: 0.3735
Sentences seen: 10000, Dev Acc: 0.3771
Sentences seen: 10500, Dev Acc: 0.3243
Sentences seen: 11000, Dev Acc: 0.4244
Sentences seen: 11500, Dev Acc: 0.4148
Sentences seen: 12000, Dev Acc: 0.4338
Sentences seen: 12500, Dev Acc: 0.4555
Sentences seen: 13000, Dev Acc: 0.4256
Sentences seen: 13500, Dev Acc: 0.4807
Sentences seen: 14000, Dev Acc: 0.4581
Sentences seen: 14500, Dev Acc: 0.4796
Epoch 1 TRAIN loss: 0.4897 | TRAIN accuracy: 0.2067
Last dev acc: 0.4796
Epoch 2/5
Sentences seen: 15000, Dev Acc: 0.4480
Sentences seen: 15500, Dev Acc: 0.4691
Sentences seen: 16000, Dev Acc: 0.5232
Sentences seen: 16500, Dev Acc: 0.5101
Sentences seen: 17000, Dev Acc: 0.5470
Sentences seen: 17500, Dev Acc: 0.5288
Sentences seen: 18000, Dev Acc: 0.5638
Sentences seen: 18500, Dev Acc: 0.5701
Sentences seen: 19000, Dev Acc: 0.5409
Sentences seen: 19500, Dev Acc: 0.5969
Sentences seen: 20000, Dev Acc: 0.5570
Sentences seen: 20500, Dev Acc: 0.6051
Sentences seen: 21000, Dev Acc: 0.5518
Sentences seen: 21500, Dev Acc: 0.6183
Sentences seen: 22000, Dev Acc: 0.6009
Sentences seen: 22500, Dev Acc: 0.6246
