Training repr mode 'b' for 5 epochs on device cpu for task 'pos'
Epoch 1/5
Sentences seen: 500, Dev Acc: 0.1324
Sentences seen: 1000, Dev Acc: 0.1427
Sentences seen: 1500, Dev Acc: 0.1436
Sentences seen: 2000, Dev Acc: 0.1843
Sentences seen: 2500, Dev Acc: 0.1738
Sentences seen: 3000, Dev Acc: 0.1753
Sentences seen: 3500, Dev Acc: 0.1689
Sentences seen: 4000, Dev Acc: 0.1851
Sentences seen: 4500, Dev Acc: 0.1739
Sentences seen: 5000, Dev Acc: 0.1846
Sentences seen: 5500, Dev Acc: 0.1833
Sentences seen: 6000, Dev Acc: 0.1834
Sentences seen: 6500, Dev Acc: 0.1830
Sentences seen: 7000, Dev Acc: 0.1775
Sentences seen: 7500, Dev Acc: 0.1851
Sentences seen: 8000, Dev Acc: 0.1851
Sentences seen: 8500, Dev Acc: 0.1851
Sentences seen: 9000, Dev Acc: 0.1820
Sentences seen: 9500, Dev Acc: 0.1847
Sentences seen: 10000, Dev Acc: 0.1845
Sentences seen: 10500, Dev Acc: 0.1845
Sentences seen: 11000, Dev Acc: 0.1882
Sentences seen: 11500, Dev Acc: 0.1884
Sentences seen: 12000, Dev Acc: 0.1852
Sentences seen: 12500, Dev Acc: 0.2197
Sentences seen: 13000, Dev Acc: 0.2514
Sentences seen: 13500, Dev Acc: 0.2601
Sentences seen: 14000, Dev Acc: 0.2542
Sentences seen: 14500, Dev Acc: 0.2905
Sentences seen: 15000, Dev Acc: 0.2645
Sentences seen: 15500, Dev Acc: 0.2335
Sentences seen: 16000, Dev Acc: 0.2541
Sentences seen: 16500, Dev Acc: 0.2484
Sentences seen: 17000, Dev Acc: 0.2601
Sentences seen: 17500, Dev Acc: 0.2564
Sentences seen: 18000, Dev Acc: 0.2630
Sentences seen: 18500, Dev Acc: 0.2580
Sentences seen: 19000, Dev Acc: 0.2614
Sentences seen: 19500, Dev Acc: 0.2629
Sentences seen: 20000, Dev Acc: 0.2644
Sentences seen: 20500, Dev Acc: 0.2618
Sentences seen: 21000, Dev Acc: 0.2662
Sentences seen: 21500, Dev Acc: 0.2663
Sentences seen: 22000, Dev Acc: 0.2679
Sentences seen: 22500, Dev Acc: 0.2682
Sentences seen: 23000, Dev Acc: 0.2681
Sentences seen: 23500, Dev Acc: 0.2689
Sentences seen: 24000, Dev Acc: 0.2662
Sentences seen: 24500, Dev Acc: 0.2704
Sentences seen: 25000, Dev Acc: 0.2673
Sentences seen: 25500, Dev Acc: 0.2691
Sentences seen: 26000, Dev Acc: 0.2706
Sentences seen: 26500, Dev Acc: 0.2711
Sentences seen: 27000, Dev Acc: 0.2695
Sentences seen: 27500, Dev Acc: 0.2774
Sentences seen: 28000, Dev Acc: 0.2775
Sentences seen: 28500, Dev Acc: 0.2784
Sentences seen: 29000, Dev Acc: 0.2806
Sentences seen: 29500, Dev Acc: 0.2798
Sentences seen: 30000, Dev Acc: 0.2804
Sentences seen: 30500, Dev Acc: 0.2798
Sentences seen: 31000, Dev Acc: 0.2828
Sentences seen: 31500, Dev Acc: 0.2786
Sentences seen: 32000, Dev Acc: 0.2793
Sentences seen: 32500, Dev Acc: 0.2844
Sentences seen: 33000, Dev Acc: 0.2848
Sentences seen: 33500, Dev Acc: 0.2821
