Training repr mode 'c' for 5 epochs on device cpu for task 'pos'
Epoch 1/5
Sentences seen: 500, Dev Acc: 0.3212
Sentences seen: 1000, Dev Acc: 0.1801
Sentences seen: 1500, Dev Acc: 0.3453
Sentences seen: 2000, Dev Acc: 0.3646
Sentences seen: 2500, Dev Acc: 0.3912
Sentences seen: 3000, Dev Acc: 0.4481
Sentences seen: 3500, Dev Acc: 0.5027
Sentences seen: 4000, Dev Acc: 0.5541
Sentences seen: 4500, Dev Acc: 0.6100
Sentences seen: 5000, Dev Acc: 0.6597
Sentences seen: 5500, Dev Acc: 0.6846
Sentences seen: 6000, Dev Acc: 0.7204
Sentences seen: 6500, Dev Acc: 0.7441
Sentences seen: 7000, Dev Acc: 0.7534
Sentences seen: 7500, Dev Acc: 0.7744
Sentences seen: 8000, Dev Acc: 0.7824
Sentences seen: 8500, Dev Acc: 0.7896
Sentences seen: 9000, Dev Acc: 0.8061
Sentences seen: 9500, Dev Acc: 0.8158
Sentences seen: 10000, Dev Acc: 0.8217
Sentences seen: 10500, Dev Acc: 0.8313
Sentences seen: 11000, Dev Acc: 0.8343
Sentences seen: 11500, Dev Acc: 0.8445
Sentences seen: 12000, Dev Acc: 0.8483
Sentences seen: 12500, Dev Acc: 0.8555
Sentences seen: 13000, Dev Acc: 0.8583
Sentences seen: 13500, Dev Acc: 0.8629
Sentences seen: 14000, Dev Acc: 0.8692
Sentences seen: 14500, Dev Acc: 0.8726
Sentences seen: 15000, Dev Acc: 0.8748
Sentences seen: 15500, Dev Acc: 0.8790
Sentences seen: 16000, Dev Acc: 0.8807
Sentences seen: 16500, Dev Acc: 0.8841
Sentences seen: 17000, Dev Acc: 0.8867
Sentences seen: 17500, Dev Acc: 0.8881
Sentences seen: 18000, Dev Acc: 0.8896
Sentences seen: 18500, Dev Acc: 0.8925
Sentences seen: 19000, Dev Acc: 0.8934
Sentences seen: 19500, Dev Acc: 0.8961
Sentences seen: 20000, Dev Acc: 0.8956
Sentences seen: 20500, Dev Acc: 0.8983
Sentences seen: 21000, Dev Acc: 0.9009
Sentences seen: 21500, Dev Acc: 0.9030
Sentences seen: 22000, Dev Acc: 0.9042
Sentences seen: 22500, Dev Acc: 0.9076
Sentences seen: 23000, Dev Acc: 0.9070
Sentences seen: 23500, Dev Acc: 0.9076
Sentences seen: 24000, Dev Acc: 0.9097
Sentences seen: 24500, Dev Acc: 0.9081
Sentences seen: 25000, Dev Acc: 0.9109
Sentences seen: 25500, Dev Acc: 0.9128
Sentences seen: 26000, Dev Acc: 0.9124
Sentences seen: 26500, Dev Acc: 0.9138
Sentences seen: 27000, Dev Acc: 0.9150
Sentences seen: 27500, Dev Acc: 0.9158
Sentences seen: 28000, Dev Acc: 0.9158
Sentences seen: 28500, Dev Acc: 0.9118
Sentences seen: 29000, Dev Acc: 0.9177
Sentences seen: 29500, Dev Acc: 0.9165
Sentences seen: 30000, Dev Acc: 0.9181
Sentences seen: 30500, Dev Acc: 0.9187
Sentences seen: 31000, Dev Acc: 0.9204
Sentences seen: 31500, Dev Acc: 0.9219
Sentences seen: 32000, Dev Acc: 0.9211
Sentences seen: 32500, Dev Acc: 0.9206
Sentences seen: 33000, Dev Acc: 0.9241
Sentences seen: 33500, Dev Acc: 0.9241
Sentences seen: 34000, Dev Acc: 0.9247
Sentences seen: 34500, Dev Acc: 0.9238
Sentences seen: 35000, Dev Acc: 0.9253
Sentences seen: 35500, Dev Acc: 0.9260
Sentences seen: 36000, Dev Acc: 0.9267
Sentences seen: 36500, Dev Acc: 0.9262
Sentences seen: 37000, Dev Acc: 0.9281
Sentences seen: 37500, Dev Acc: 0.9283
Epoch 1 TRAIN loss: 0.6821 | TRAIN accuracy: 0.8131
Last dev acc: 0.9283
Epoch 2/5
Sentences seen: 38000, Dev Acc: 0.9275
Sentences seen: 38500, Dev Acc: 0.9279
Sentences seen: 39000, Dev Acc: 0.9307
Sentences seen: 39500, Dev Acc: 0.9309
Sentences seen: 40000, Dev Acc: 0.9313
Sentences seen: 40500, Dev Acc: 0.9322
Sentences seen: 41000, Dev Acc: 0.9318
Sentences seen: 41500, Dev Acc: 0.9316
Sentences seen: 42000, Dev Acc: 0.9328
Sentences seen: 42500, Dev Acc: 0.9340
Sentences seen: 43000, Dev Acc: 0.9340
Sentences seen: 43500, Dev Acc: 0.9349
